00:00:13.2500265	GameStart	BallOrigin	25,33	PlatOrigin	75,12	BallVel	0,0
00:00:14.3166953	PlatformMove	BallPos	202,290	PlaXCoor	205	BallVel	-7,10
00:00:14.6333626	PlatformStop	BallPos	69,480	PlaXCoor	25	BallVel	-7,10
00:00:14.9500299	PlatformMove	BallPos	62,670	PlaXCoor	35	BallVel	7,10
00:00:15.0166967	Collision	BallOrigin	108,733	PlatOrigin	140,767	BallVel	7,10
00:00:15.1166969	PlatformStop	BallPos	132,630	PlaXCoor	125	BallVel	7,-10
00:00:16.2333658	PlatformMove	BallPos	461,100	PlaXCoor	115	BallVel	-7,10
00:00:16.5500331	PlatformStop	BallPos	328,290	PlaXCoor	0	BallVel	-7,10
00:00:17.2333678	PlatformMove	BallPos	41,700	PlaXCoor	10	BallVel	-7,10
00:00:17.2500345	Collision	BallOrigin	66,733	PlatOrigin	85,767	BallVel	-7,10
00:00:17.6167019	PlatformStop	BallPos	118,470	PlaXCoor	230	BallVel	7,-10
00:00:18.2000364	PlatformMove	BallPos	363,120	PlaXCoor	240	BallVel	7,-10
00:00:18.4833703	PlatformStop	BallPos	482,110	PlaXCoor	400	BallVel	7,10
00:00:18.8833711	PlatformMove	BallPos	412,350	PlaXCoor	390	BallVel	-7,10
00:00:19.2167051	PlatformStop	BallPos	272,550	PlaXCoor	200	BallVel	-7,10
00:00:19.3833721	PlatformMove	BallPos	202,650	PlaXCoor	190	BallVel	-7,10
00:00:19.4833723	Collision	BallOrigin	192,733	PlatOrigin	215,767	BallVel	-7,10
00:00:19.5667058	PlatformStop	BallPos	125,640	PlaXCoor	90	BallVel	-7,-10
00:00:19.8833731	PlatformMove	BallPos	6,450	PlaXCoor	100	BallVel	7,-10
00:00:20.2667072	PlatformStop	BallPos	167,220	PlaXCoor	320	BallVel	7,-10
00:00:20.8333750	PlatformMove	BallPos	405,180	PlaXCoor	330	BallVel	7,10
00:00:21.0167087	PlatformStop	BallPos	482,290	PlaXCoor	430	BallVel	7,10
00:00:21.2667092	PlatformMove	BallPos	475,440	PlaXCoor	420	BallVel	-7,10
00:00:21.5500431	PlatformStop	BallPos	356,610	PlaXCoor	260	BallVel	-7,10
00:00:21.7167101	Collision	BallOrigin	318,733	PlatOrigin	335,767	BallVel	-7,10
00:00:23.2167131	PlatformMove	BallPos	342,270	PlaXCoor	270	BallVel	7,10
00:00:23.4667136	PlatformStop	BallPos	447,420	PlaXCoor	410	BallVel	7,10
00:00:23.8833811	PlatformMove	BallPos	440,670	PlaXCoor	400	BallVel	-7,10
00:00:23.9500479	Collision	BallOrigin	444,733	PlatOrigin	445,767	BallVel	-7,10
00:00:24.1000482	PlatformStop	BallPos	349,600	PlaXCoor	280	BallVel	-7,-10
00:00:25.6167179	PlatformMove	BallPos	286,370	PlaXCoor	290	BallVel	7,10
00:00:26.0167187	PlatformStop	BallPos	454,610	PlaXCoor	430	BallVel	7,10
00:00:26.1833857	Collision	BallOrigin	542,733	PlatOrigin	505,767	BallVel	7,10
00:00:26.8500537	PlatformMove	BallPos	258,290	PlaXCoor	420	BallVel	-7,-10
00:00:27.2167211	PlatformStop	BallPos	104,70	PlaXCoor	210	BallVel	-7,-10
00:00:27.7333888	PlatformMove	BallPos	111,300	PlaXCoor	220	BallVel	7,10
00:00:27.9167225	PlatformStop	BallPos	188,410	PlaXCoor	320	BallVel	7,10
00:00:28.1500563	PlatformMove	BallPos	286,550	PlaXCoor	330	BallVel	7,10
00:00:28.2833899	PlatformStop	BallPos	342,630	PlaXCoor	400	BallVel	7,10
00:00:28.4167235	Collision	BallOrigin	416,733	PlatOrigin	475,767	BallVel	7,10
00:00:28.8167243	PlatformMove	BallPos	496,450	PlaXCoor	410	BallVel	-7,-10
00:00:29.0500581	PlatformStop	BallPos	398,310	PlaXCoor	430	BallVel	-7,-10
00:00:29.1500583	PlatformMove	BallPos	356,250	PlaXCoor	420	BallVel	-7,-10
00:00:29.5333924	PlatformStop	BallPos	195,40	PlaXCoor	200	BallVel	-7,10
00:00:29.7667262	PlatformMove	BallPos	97,180	PlaXCoor	190	BallVel	-7,10
00:00:29.9500599	PlatformStop	BallPos	20,290	PlaXCoor	90	BallVel	-7,10
00:00:30.2667272	PlatformMove	BallPos	111,480	PlaXCoor	100	BallVel	7,10
00:00:30.4667276	PlatformStop	BallPos	195,600	PlaXCoor	210	BallVel	7,10
00:00:30.6500613	Collision	BallOrigin	290,733	PlatOrigin	285,767	BallVel	7,10
00:00:31.3333960	PlatformMove	BallPos	503,280	PlaXCoor	200	BallVel	-7,-10
00:00:31.5833965	PlatformStop	BallPos	398,130	PlaXCoor	60	BallVel	-7,-10
00:00:32.1000642	PlatformMove	BallPos	181,240	PlaXCoor	70	BallVel	-7,10
00:00:32.2000644	PlatformStop	BallPos	139,300	PlaXCoor	120	BallVel	-7,10
00:00:32.8833991	Collision	BallOrigin	164,733	PlatOrigin	195,767	BallVel	7,10
00:00:32.9833993	PlatformMove	BallPos	188,630	PlaXCoor	130	BallVel	7,-10
00:00:33.3500667	PlatformStop	BallPos	342,410	PlaXCoor	340	BallVel	7,-10
00:00:33.8167343	PlatformMove	BallPos	524,130	PlaXCoor	330	BallVel	-7,-10
00:00:34.1000682	PlatformStop	BallPos	405,100	PlaXCoor	170	BallVel	-7,10
00:00:34.3500687	PlatformMove	BallPos	300,250	PlaXCoor	160	BallVel	-7,10
00:00:34.6167359	PlatformStop	BallPos	188,410	PlaXCoor	10	BallVel	-7,10
00:00:35.1167369	Collision	BallOrigin	38,733	PlatOrigin	85,767	BallVel	7,10
00:00:35.4500709	PlatformMove	BallPos	160,490	PlaXCoor	20	BallVel	7,-10
00:00:36.0167387	PlatformStop	BallPos	398,150	PlaXCoor	350	BallVel	7,-10
00:00:36.3667394	PlatformMove	BallPos	517,120	PlaXCoor	340	BallVel	-7,10
00:00:36.6834067	PlatformStop	BallPos	384,310	PlaXCoor	160	BallVel	-7,10
00:00:36.7667402	PlatformMove	BallPos	349,360	PlaXCoor	150	BallVel	-7,10
00:00:36.8834071	PlatformStop	BallPos	300,430	PlaXCoor	90	BallVel	-7,10
00:00:37.1000742	PlatformMove	BallPos	209,560	PlaXCoor	80	BallVel	-7,10
00:00:37.2500745	PlatformStop	BallPos	146,650	PlaXCoor	0	BallVel	-7,10
00:00:37.3500747	Collision	BallOrigin	136,733	PlatOrigin	75,767	BallVel	-7,10
00:00:37.5167417	PlatformMove	BallPos	34,590	PlaXCoor	10	BallVel	-7,-10
00:00:37.9834093	PlatformStop	BallPos	160,310	PlaXCoor	280	BallVel	7,-10
00:00:39.4667456	PlatformMove	BallPos	279,640	PlaXCoor	270	BallVel	-7,10
00:00:39.5834125	Collision	BallOrigin	262,733	PlatOrigin	285,767	BallVel	-7,10
00:00:39.7000794	PlatformStop	BallPos	181,620	PlaXCoor	140	BallVel	-7,-10
00:00:40.2000804	PlatformMove	BallPos	27,320	PlaXCoor	150	BallVel	7,-10
00:00:40.5167477	PlatformStop	BallPos	160,130	PlaXCoor	330	BallVel	7,-10
00:00:41.8167503	Collision	BallOrigin	388,733	PlatOrigin	405,767	BallVel	-7,10
00:00:42.0667508	PlatformMove	BallPos	251,540	PlaXCoor	320	BallVel	-7,-10
00:00:42.4000848	PlatformStop	BallPos	111,340	PlaXCoor	130	BallVel	-7,-10
00:00:42.8334190	PlatformMove	BallPos	69,80	PlaXCoor	140	BallVel	7,-10
00:00:43.1334196	PlatformStop	BallPos	195,160	PlaXCoor	310	BallVel	7,10
00:00:43.3667534	PlatformMove	BallPos	293,300	PlaXCoor	320	BallVel	7,10
00:00:43.6334206	PlatformStop	BallPos	405,460	PlaXCoor	430	BallVel	7,10
00:00:44.0500881	Collision	BallOrigin	514,733	PlatOrigin	505,767	BallVel	-7,10
00:00:44.2167551	PlatformMove	BallPos	412,590	PlaXCoor	420	BallVel	-7,-10
00:00:44.7334228	PlatformStop	BallPos	195,280	PlaXCoor	120	BallVel	-7,-10
00:00:45.3000906	PlatformMove	BallPos	41,120	PlaXCoor	130	BallVel	7,10
00:00:45.5667578	PlatformStop	BallPos	153,280	PlaXCoor	280	BallVel	7,10
00:00:45.8334250	PlatformMove	BallPos	265,440	PlaXCoor	290	BallVel	7,10
00:00:46.1167589	PlatformStop	BallPos	384,610	PlaXCoor	430	BallVel	7,10
00:00:46.2834259	Collision	BallOrigin	472,733	PlatOrigin	505,767	BallVel	7,10
00:00:46.7000934	PlatformMove	BallPos	433,440	PlaXCoor	420	BallVel	-7,-10
00:00:47.2834279	PlatformStop	BallPos	188,90	PlaXCoor	80	BallVel	-7,-10
00:00:47.7000954	PlatformMove	BallPos	13,220	PlaXCoor	90	BallVel	-7,10
00:00:47.9667626	PlatformStop	BallPos	97,380	PlaXCoor	240	BallVel	7,10
00:00:48.4000968	PlatformMove	BallPos	279,640	PlaXCoor	250	BallVel	7,10
00:00:48.5167637	Collision	BallOrigin	346,733	PlatOrigin	385,767	BallVel	7,10
00:00:48.6500973	PlatformStop	BallPos	384,610	PlaXCoor	390	BallVel	7,-10
00:00:49.0334314	PlatformMove	BallPos	517,380	PlaXCoor	380	BallVel	-7,-10
00:00:49.4834323	PlatformStop	BallPos	328,110	PlaXCoor	120	BallVel	-7,-10
00:00:49.8500997	PlatformMove	BallPos	174,170	PlaXCoor	110	BallVel	-7,10
00:00:50.0667668	PlatformStop	BallPos	83,300	PlaXCoor	0	BallVel	-7,10
00:00:50.3334340	PlatformMove	BallPos	27,460	PlaXCoor	10	BallVel	7,10
00:00:50.6334346	PlatformStop	BallPos	153,640	PlaXCoor	180	BallVel	7,10
00:00:50.7501015	Collision	BallOrigin	220,733	PlatOrigin	255,767	BallVel	7,10
00:00:50.8834351	PlatformMove	BallPos	258,610	PlaXCoor	190	BallVel	7,-10
00:00:51.2167691	PlatformStop	BallPos	398,410	PlaXCoor	380	BallVel	7,-10
00:00:51.5167697	PlatformMove	BallPos	524,230	PlaXCoor	370	BallVel	7,-10
00:00:51.7834369	PlatformStop	BallPos	426,70	PlaXCoor	220	BallVel	-7,-10
00:00:52.1834377	PlatformMove	BallPos	258,230	PlaXCoor	210	BallVel	-7,10
00:00:52.6334386	PlatformStop	BallPos	69,500	PlaXCoor	0	BallVel	-7,10
00:00:52.9834393	Collision	BallOrigin	94,733	PlatOrigin	75,767	BallVel	7,10
00:00:53.1001062	PlatformMove	BallPos	125,620	PlaXCoor	10	BallVel	7,-10
00:00:53.5501071	PlatformStop	BallPos	314,350	PlaXCoor	270	BallVel	7,-10
00:00:54.1334416	PlatformMove	BallPos	503,60	PlaXCoor	260	BallVel	-7,10
00:00:54.6001092	PlatformStop	BallPos	307,340	PlaXCoor	0	BallVel	-7,10
00:00:55.2167771	Collision	BallOrigin	80,733	PlatOrigin	75,767	BallVel	-7,10
00:00:55.3834441	PlatformMove	BallPos	20,590	PlaXCoor	10	BallVel	7,-10
00:00:56.0334454	PlatformStop	BallPos	293,200	PlaXCoor	390	BallVel	7,-10
00:00:56.3334460	PlatformMove	BallPos	419,40	PlaXCoor	380	BallVel	7,10
00:00:56.6667800	PlatformStop	BallPos	503,240	PlaXCoor	190	BallVel	-7,10
00:00:56.9667806	PlatformMove	BallPos	377,420	PlaXCoor	180	BallVel	-7,10
00:00:57.1334476	PlatformStop	BallPos	307,520	PlaXCoor	90	BallVel	-7,10
00:00:57.4501149	Collision	BallOrigin	206,733	PlatOrigin	165,767	BallVel	-7,10
00:00:57.4667816	PlatformMove	BallPos	167,680	PlaXCoor	100	BallVel	-7,-10
00:00:57.6501153	PlatformStop	BallPos	90,570	PlaXCoor	200	BallVel	-7,-10
00:00:57.7667822	PlatformMove	BallPos	41,500	PlaXCoor	190	BallVel	-7,-10
00:00:57.9501159	PlatformStop	BallPos	34,390	PlaXCoor	90	BallVel	7,-10
00:00:58.4667836	PlatformMove	BallPos	251,80	PlaXCoor	100	BallVel	7,-10
00:00:58.7501175	PlatformStop	BallPos	370,150	PlaXCoor	260	BallVel	7,10
00:00:58.8834511	PlatformMove	BallPos	426,230	PlaXCoor	250	BallVel	7,10
00:00:59.0501181	PlatformStop	BallPos	496,330	PlaXCoor	160	BallVel	7,10
